,fileName,yam_pred,res_pred
0,00363890ad77895e05c5487a44b2af52.wav,4,5
1,003e52d658ae9439b3743b1d7f4ea14f.wav,5,1
2,0040832d2d1a29581b597b646a1318c9.wav,4,5
3,006b23938b1a4ce3332d4788b1436a40.wav,0,4
4,0092fb66744c918e40855d1c82fa85e6.wav,2,3
5,00c5ef4e089ec478307a885f408fb614.wav,5,1
6,00d492dda65369d958f3c1d6e71c512f.wav,5,1
7,00f11667c399852ad66dc91c71d4c5e2.wav,2,1
8,00f5be64dfd7107c7e8fb6cc44aa3bbc.wav,2,1
9,01031d63ee0da5fca9f5a7305d42ba61.wav,2,5
10,01142b5cb3170bcc846fc67b3a3866ac.wav,1,5
11,011b37bfaaa59404a0e6ae140c05a49a.wav,4,5
12,0127e8d86c5c0e7c6662812c17023750.wav,5,4
13,01338451eb8805bf7221b1759959c400.wav,2,1
14,0135def0c3a543ab5c937ab2c9a952ca.wav,5,1
15,016803c622d70a4004257ce3afb4418f.wav,5,4
16,016988317ff98fbc136818aaf52d6deb.wav,5,1
17,01719b1a32cac02b7bc63ba893dd488c.wav,3,1
18,01ad6da8117845b7fe2ccd0589f25362.wav,5,4
19,01c46da38dbeb6ffb7338694bb0e2089.wav,2,5
20,01d069404f4b7584191fb3ee81ee7594.wav,4,5
21,01e905033786744172f81454f5d8273d.wav,1,5
22,01f8254155e06fa49b90d5cd72377edb.wav,2,1
23,01fc8fbfda3d0dd5de292a9ed526f166.wav,1,5
24,02073d0fb8852125df4816879bf2ecae.wav,2,1
25,020947773921ab81ef6d0e00b76383cd.wav,4,5
26,020fdb224c371c8dd638093d16e61103.wav,2,5
27,02131f360bdf6aca2f02a111b58adfab.wav,3,5
28,02823aab0ae4e06a1148ad03ced2a633.wav,5,4
29,02abb8727d5c25d6456645471978822b.wav,2,5
30,02ce30a41532f0dc4fdd7b5143c8ac7e.wav,5,1
31,032e32ce9b124459c56e5b3a1bf4e2dd.wav,4,5
32,03347edb6caa838c35250f85109dc077.wav,5,1
33,034f3384658773725e164c2e43aef207.wav,2,1
34,0366367a5960098aa41413716763d4bc.wav,5,4
35,0367d2cf32e2b3d9e82ebdf4753a57df.wav,2,1
36,038f558656b2c6db99eb69a895453e87.wav,5,1
37,0393ca50a4a59e99a9c9d91cb03a3253.wav,5,1
38,03d4e33a60f203f8a0e3f70daa592520.wav,1,5
39,03dde8423ad606df924840c3dcb33135.wav,4,5
40,03de6811d21fb28161cc4312d28c6c78.wav,2,1
41,03ee0a5fbed36e9f40dddf611fc57402.wav,3,5
42,03ef43038e1d3228c548b0e727908ca7.wav,5,1
43,03f8d0bcd3655b01526a9d95cba608a2.wav,1,5
44,0401eea2f510673611523ac9433a71b4.wav,0,5
45,04090585ad0ba36b2d6409f7e5dbe0f8.wav,5,4
46,0418a0c022a860fc3dcf86df85662622.wav,2,5
47,041c242937ed7d4f6e844c5086d7c174.wav,5,1
